open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1.71452E+12,3012.57,3021.94,3010.11,3010.12,18408.573,1.71452E+12,55511332.95,33908,8656.797,26109354.69,0
1.71452E+12,3010.12,3018.18,3000,3001.66,23934.164,1.71452E+12,71982620,44376,10966.246,32985640.09,0
1.71452E+12,3001.67,3005.62,2986,3000.95,50252.993,1.71452E+12,150508131,67243,24316.005,72839420.71,0
1.71452E+12,3000.95,3009.15,2992.8,2997.9,18686.111,1.71453E+12,56070332.1,34806,8124.34,24386157.59,0
1.71453E+12,2997.92,3003.51,2975.96,2979.69,33488.626,1.71453E+12,100066927.1,61107,14100.335,42134991.2,0
1.71453E+12,2979.67,3007.98,2978.55,3007.66,31967.613,1.71453E+12,95788724.23,53965,17516.205,52493679.1,0
1.71453E+12,3007.66,3013.72,3001.9,3002.21,23530.11,1.71453E+12,70793731.79,38680,9655.109,29050614.7,0
1.71453E+12,3002.21,3009.98,2998.01,3001.07,12917.026,1.71453E+12,38794225.54,28906,6134.566,18426383.39,0
1.71453E+12,3001.07,3002.64,2958.04,2959.4,53125.586,1.71453E+12,158278547.1,72419,21314.77,63504493.02,0
1.71453E+12,2959.44,2990.94,2958,2982.47,44486.508,1.71453E+12,132464542.9,65803,26493.585,78883766.68,0
1.71453E+12,2982.47,2990.52,2972.43,2981.96,22162.192,1.71453E+12,66066917.96,38281,11805.521,35192479.69,0
1.71453E+12,2981.95,2989.79,2981.52,2986.59,9563.224,1.71453E+12,28552306.54,22799,4814.693,14373737.82,0
1.71453E+12,2986.58,2993.89,2984.35,2990.71,12514.585,1.71453E+12,37420844.52,23590,6736.377,20143457.31,0
1.71453E+12,2990.7,2996.2,2987.16,2990.13,9849.426,1.71453E+12,29474785.56,18045,4926.36,14744971.34,0
1.71453E+12,2990.13,3004.44,2989.5,2998.51,14488.074,1.71454E+12,43430798.17,25697,8861.758,26564509.4,0
1.71454E+12,2998.51,3007,2994.86,3002.93,13231.312,1.71454E+12,39717212.69,20912,7825.191,23490408.88,0
1.71454E+12,3002.93,3012.89,3001.16,3008.35,22620.734,1.71454E+12,68042513.56,29322,10763.569,32375849,0
1.71454E+12,3008.3,3010.41,3001.94,3004.16,9254.786,1.71454E+12,27820653.53,17773,3386.465,10181139.97,0
1.71454E+12,3004.15,3010.91,3003.5,3007.72,9434.456,1.71454E+12,28375015.87,17557,4544.705,13668102.18,0
1.71454E+12,3007.72,3008.55,3002.67,3005.01,7028.322,1.71454E+12,21126522.03,13217,3172.024,9535536.04,0
1.71454E+12,3005.01,3009.58,2997.23,3001.43,14895.169,1.71454E+12,44715270.97,23539,6891.086,20686853.45,0
1.71454E+12,3001.44,3004.44,2985.84,2987.56,19973.931,1.71454E+12,59797460.86,30718,7560.693,22635651.43,0
1.71454E+12,2987.55,3004.93,2987.55,2991.84,27177.276,1.71454E+12,81385267.93,35223,14175.645,42448075.03,0
1.71454E+12,2991.85,2994.58,2984.62,2993.29,19315.191,1.71454E+12,57737012.97,28972,7721.785,23084075.08,0
1.71454E+12,2993.29,2995.77,2982.83,2983.72,17431.422,1.71454E+12,52074257.14,29204,6323.415,18890100.34,0
1.71454E+12,2983.71,2989.72,2968.17,2969.9,33388.641,1.71454E+12,99434093.41,42988,11984.943,35698919.61,0
1.71455E+12,2969.91,2974.54,2961.53,2969.14,37505.581,1.71455E+12,111321593.1,50894,17802.987,52848751.1,0
1.71455E+12,2969.14,2971.87,2949.24,2952.75,51588.194,1.71455E+12,152572506,59595,21126.577,62490247.98,0
1.71455E+12,2952.76,2956.57,2851,2899.99,268877.236,1.71455E+12,781783773.3,259271,114696.717,333565188.8,0
1.71455E+12,2900,2912.84,2861.82,2896.01,138432.574,1.71455E+12,400297133.3,174530,64963.474,187899058.2,0
1.71455E+12,2896.01,2905,2868,2882.32,118832.978,1.71455E+12,342917557,173215,61306.542,176953594.9,0
1.71455E+12,2882.33,2892.85,2856.74,2868.49,93989.643,1.71455E+12,270112716.3,121376,44319.038,127405537.3,0
1.71455E+12,2868.48,2873.48,2845,2866.65,129821.518,1.71455E+12,371347743.4,162152,62153.059,177844742.4,0
1.71455E+12,2866.66,2867.47,2814.44,2845.09,188465.991,1.71455E+12,534407631.8,198996,84562.134,239819701.8,0
1.71455E+12,2845.08,2857.3,2840,2848.09,80299.959,1.71455E+12,228787822.1,91909,43561.624,124119457.1,0
1.71455E+12,2848.08,2864.19,2845,2861.67,61163.843,1.71455E+12,174646703,70118,31725.196,90594148.64,0
1.71455E+12,2861.67,2887.87,2856.26,2879.2,79857.372,1.71455E+12,229780068.9,92124,42365.944,121885913.6,0
