open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore,
1.71724E+12,3792,3795,3787.88,3789.61,12198.615,1.71724E+12,46247064.94,15985,6368.215,24145269.29,0,
1.71724E+12,3789.61,3796,3789.2,3794,8274.62,1.71724E+12,31389225.04,14794,4922.318,18672504.64,0,
1.71724E+12,3794,3796.13,3790.01,3790.39,9646.859,1.71724E+12,36595897.97,12688,4883.264,18526984.7,0,
1.71724E+12,3790.39,3799,3788.85,3794.31,7555.545,1.71724E+12,28670049.32,13137,4446.384,16874015.73,0,
1.71724E+12,3794.31,3798.51,3791.74,3798.5,5550.294,1.71724E+12,21070286.82,12257,3175.238,12053767.84,0,
1.71725E+12,3798.5,3804.96,3796.11,3804.03,11981.381,1.71725E+12,45531508.9,15968,9373.954,35624786.66,0,
1.71725E+12,3804.03,3810,3798,3798.01,17713.137,1.71725E+12,67401531.18,30885,9124.717,34724604.2,0,
1.71725E+12,3798,3807,3798,3804,16686.269,1.71725E+12,63456019.5,22875,8631.922,32830158.6,0,
1.71725E+12,3803.99,3806,3801.96,3803.19,5408.495,1.71725E+12,20573914.92,13455,3105.891,11814755.57,0,
1.71725E+12,3803.19,3810,3802.9,3806.4,10014.811,1.71725E+12,38138512.94,18482,5904.475,22486124.25,0,
1.71725E+12,3806.41,3812.43,3804.07,3804.27,16123.09,1.71725E+12,61409006.06,24430,7463.794,28433033.27,0,
1.71725E+12,3804.27,3807.73,3799.58,3803.5,9839.208,1.71725E+12,37425344.99,19197,4206.178,15999730.78,0,
1.71725E+12,3803.5,3811.99,3803.5,3810.77,6906.221,1.71725E+12,26297621.77,16341,3448.819,13133799.79,0,
1.71725E+12,3810.76,3817,3808.6,3810.69,17316.771,1.71725E+12,66039078.34,29876,9720.356,37073035.2,0,
1.71725E+12,3810.69,3813.1,3805.17,3812.05,15545.629,1.71725E+12,59214976.06,22398,7040.535,26822211.92,0,
1.71725E+12,3812.06,3813.82,3805.63,3806.81,8874.561,1.71725E+12,33808526.97,16539,3545.523,13507451.83,0,
1.71725E+12,3806.81,3814.9,3805.66,3812.1,14980.865,1.71726E+12,57091207.93,21701,6834.019,26043742.46,0,
1.71726E+12,3812.1,3813.87,3810.01,3811.62,3645.673,1.71726E+12,13897336.12,9670,1360.262,5185337.744,0,
1.71726E+12,3811.62,3811.62,3801,3801.38,16055.943,1.71726E+12,61094677.55,23836,7541.19,28700813.4,0,
1.71726E+12,3801.39,3808.6,3801.38,3804.18,8595.452,1.71726E+12,32705252.92,18198,4253.281,16183191.78,0,
1.71726E+12,3804.18,3807,3796.55,3806.57,15260.803,1.71726E+12,58008400.65,25221,7280.072,27678453.07,0,
1.71726E+12,3806.57,3809.28,3798.81,3802.81,9260.486,1.71726E+12,35223153.88,18544,4583.069,17434221,0,
1.71726E+12,3802.81,3803.62,3798.54,3801.53,5754.476,1.71726E+12,21875284.71,12047,2582.305,9816534.18,0,
1.71726E+12,3801.53,3802.11,3797.36,3797.36,6181.6,1.71726E+12,23488078.83,13217,2581.577,9810562.281,0,
1.71726E+12,3797.36,3806.08,3796.09,3806.08,6961.394,1.71726E+12,26466426.38,14033,3866.664,14701649.91,0,
1.71726E+12,3806.08,3807.52,3798.36,3798.36,4363.459,1.71726E+12,16593025.65,12758,1660.895,6317727.177,0,
1.71726E+12,3798.36,3812,3792.13,3809.62,20060.188,1.71726E+12,76237187.62,31036,10220.405,38859661.03,0,
1.71726E+12,3809.62,3812.84,3802.31,3802.31,6392.877,1.71727E+12,24336782.38,16340,3157.204,12019457.51,0,
1.71727E+12,3802.31,3806.95,3800.06,3802.52,4367.442,1.71727E+12,16609597.29,10253,2544.526,9676881.742,0,
1.71727E+12,3802.51,3805.32,3801.43,3805.32,2623.533,1.71727E+12,9976861.669,8062,1558.27,5925847.416,0,
1.71727E+12,3805.32,3806.46,3801.46,3805.18,2045.325,1.71727E+12,7780297.066,7211,1178.027,4481161.058,0,
1.71727E+12,3805.18,3806.72,3803.05,3803.46,2766.515,1.71727E+12,10525908.47,9364,1579.191,6008364.534,0,
1.71727E+12,3803.46,3804.61,3799.32,3802.54,4190.105,1.71727E+12,15929632.25,11300,2191.977,8333359.074,0,
1.71727E+12,3802.55,3809.78,3802.44,3808.1,4723.813,1.71727E+12,17981368.59,10908,3153.95,12005467.31,0,
1.71727E+12,3808.1,3809.63,3806.11,3806.65,2876.949,1.71727E+12,10955474.58,8657,1339.494,5100907.431,0,
1.71727E+12,3806.65,3807.89,3803.19,3803.19,3395.272,1.71727E+12,12921552.81,9466,1827.889,6956738.174,0,
1.71727E+12,3803.19,3805.71,3801.73,3805.7,2568.161,1.71727E+12,9767234.96,7149,1883.851,7164754.99,0,
1.71727E+12,3805.7,3809.67,3805.21,3808.91,4506.125,1.71727E+12,17158176.9,9525,3006.326,11447460.52,0,
1.71727E+12,3808.92,3809.86,3806.68,3809.86,3035.692,1.71728E+12,11560856.99,8441,1607.991,6123526.179,0,
1.71728E+12,3809.85,3810.94,3807.75,3809.05,3689.528,1.71728E+12,14054657.59,10453,1978.548,7536916.607,0,
1.71728E+12,3809.05,3819.77,3808.71,3808.93,16029.496,1.71728E+12,61130026.04,23683,8700.617,33189371.64,0,
1.71728E+12,3808.93,3824.85,3808.93,3824,16820.692,1.71728E+12,64239519.82,27343,10559.616,40326745.09,0,
1.71728E+12,3823.99,3825.71,3811.12,3817.48,11779.72,1.71728E+12,44968863.49,21792,5164.418,19719819.01,0,
1.71728E+12,3817.48,3827,3817.46,3822.7,15460.591,1.71728E+12,59111717.11,27329,8198.752,31348872.03,0,
1.71728E+12,3822.7,3837.2,3822.7,3832.61,26138.99,1.71728E+12,100129904.6,34488,15736.2,60282519,0,
