open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore,
1.7172E+12,67577.9,67727.8,67572,67613.6,1119.873,1.7172E+12,75760359.1,18587,565.743,38273675.18,0,
1.7172E+12,67613.6,67613.6,67535.4,67595.8,704.922,1.7172E+12,47624963.68,10533,322.919,21816549.86,0,
1.7172E+12,67595.8,67673.3,67580,67644.6,472.999,1.7172E+12,31990485.63,10185,225.853,15275666.95,0,
1.7172E+12,67644.7,67729.9,67633.9,67690,727.657,1.7172E+12,49253182.45,10436,454.499,30762057.22,0,
1.7172E+12,67690.1,67742.1,67625,67650.1,693.988,1.7172E+12,46976242.17,11178,251.055,16995085.75,0,
1.7172E+12,67650,67668.6,67538,67608.6,984.464,1.71721E+12,66545464.65,12532,351.454,23756869.37,0,
1.71721E+12,67608.6,67630,67480,67540.1,1124.2,1.71721E+12,75932857.49,19035,444.013,29991059.25,0,
1.71721E+12,67540.2,67606.8,67540.1,67600,417.163,1.71721E+12,28192377.9,7648,205.987,13921348.68,0,
1.71721E+12,67600,67766.4,67584.4,67680.1,849.161,1.71721E+12,57473996.99,13894,601.536,40715162.37,0,
1.71721E+12,67680.1,67714.8,67666,67705.1,584.35,1.71721E+12,39552150.41,7357,272.24,18427995.19,0,
1.71721E+12,67705.1,67788.9,67700,67723.7,393.548,1.71721E+12,26654931.5,8417,206.103,13959638.06,0,
1.71721E+12,67723.7,67773.8,67716.2,67762.4,283.667,1.71721E+12,19217975.24,6785,142.753,9671238.717,0,
1.71721E+12,67762.5,67785.3,67688.4,67730,638.77,1.71721E+12,43273150.59,8959,244.811,16585394.76,0,
1.71721E+12,67729.9,67739.8,67660.8,67700,800.159,1.71721E+12,54155165.02,8653,248.856,16843771.87,0,
1.71721E+12,67699.9,67787.4,67691.2,67785.5,559.206,1.71721E+12,37890722.38,8282,379.232,25696459.84,0,
1.71721E+12,67785.5,67800.7,67706.7,67749.9,849.728,1.71721E+12,57573444,10150,307.297,20823471.44,0,
1.71721E+12,67750,67808.3,67745.1,67746.8,774.247,1.71722E+12,52477600.4,10051,434.307,29436114.35,0,
1.71722E+12,67746.9,67765.3,67692.3,67724.9,329.326,1.71722E+12,22301401.38,7623,127.466,8631815.901,0,
1.71722E+12,67725,67770.5,67707,67737.1,229.222,1.71722E+12,15528618.98,6674,123.571,8371521.594,0,
1.71722E+12,67737,67773,67719.1,67719.6,281.078,1.71722E+12,19043016.19,7089,136.134,9223035.656,0,
1.71722E+12,67719.6,67732.2,67660,67702.4,449.34,1.71722E+12,30411048.52,8322,173.012,11709772.32,0,
1.71722E+12,67702.4,67728.7,67641.3,67641.3,360.557,1.71722E+12,24399140.39,5603,99.423,6728823.347,0,
1.71722E+12,67641.4,67793.7,67635,67773.8,547.007,1.71722E+12,37051334.1,9343,322,21810460.07,0,
1.71722E+12,67773.8,67857.5,67714.7,67730.7,808.498,1.71722E+12,54802210.05,12366,429.065,29084926.64,0,
1.71722E+12,67730.6,67775.9,67689.6,67704.8,577.912,1.71722E+12,39141772.12,9119,259.236,17558449.18,0,
1.71722E+12,67704.7,67713.3,67676.9,67704.6,407.871,1.71722E+12,27610458.85,7448,148.615,10060592.76,0,
1.71722E+12,67704.6,67736.9,67645,67705.8,316.845,1.71722E+12,21446374.63,8151,118.914,8049178.047,0,
1.71722E+12,67705.8,67739,67689.5,67734.8,257.354,1.71723E+12,17427069.85,6500,134.547,9111090.367,0,
1.71723E+12,67734.9,67749.9,67693.3,67700.2,306.546,1.71723E+12,20760546.88,6191,133.879,9067465.508,0,
1.71723E+12,67700.2,67700.3,67651.3,67661,267.197,1.71723E+12,18080091.66,6707,99.113,6706242.385,0,
1.71723E+12,67661,67751.1,67608.6,67702.7,1116.749,1.71723E+12,75578597.76,13056,732.277,49565662.72,0,
1.71723E+12,67702.7,67808.3,67663,67677.9,1129.009,1.71723E+12,76482972,14388,700.189,47432800.84,0,
1.71723E+12,67677.8,67718.6,67660.4,67677.4,463.133,1.71723E+12,31344836.72,9526,232.347,15725388.52,0,
1.71723E+12,67677.3,67703.9,67649.8,67673.3,493.983,1.71723E+12,33429394.49,8064,194.297,13148854.38,0,
1.71723E+12,67673.4,67783.6,67670.4,67769.1,469.281,1.71723E+12,31783472.16,7892,366.106,24797407.06,0,
