open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1.7172E+12,67577.9,67729.9,67535.4,67690,3025.451,1.7172E+12,204628990.9,49741,1569.014,106127949.2,0
1.7172E+12,67690.1,67742.1,67480,67600,3219.815,1.71721E+12,217646942.2,50393,1252.509,84664363.05,0
1.71721E+12,67600,67788.9,67584.4,67762.4,2110.726,1.71721E+12,142899054.1,36453,1222.632,82774034.34,0
1.71721E+12,67762.5,67800.7,67660.8,67749.9,2847.863,1.71721E+12,192892482,36044,1180.196,79949097.91,0
1.71721E+12,67750,67808.3,67692.3,67719.6,1613.873,1.71722E+12,109350637,31437,821.478,55662487.5,0
1.71722E+12,67719.6,67857.5,67635,67730.7,2165.402,1.71722E+12,146663733.1,35634,1023.5,69333982.38,0
1.71722E+12,67730.6,67775.9,67645,67734.8,1559.982,1.71723E+12,105625675.5,31218,661.312,44779310.35,0
1.71723E+12,67734.9,67808.3,67608.6,67677.9,2819.501,1.71723E+12,190902208.3,40342,1665.458,112772171.5,0
1.71723E+12,67677.8,67794.2,67649.8,67753.4,2228.437,1.71723E+12,150893812.6,36427,1123.644,76089441.24,0
1.71723E+12,67753.4,67800,67678.4,67753.8,1513.4,1.71724E+12,102528722.2,29097,824.878,55884707.54,0
1.71724E+12,67753.8,67797,67670,67670,1552.743,1.71724E+12,105176992.7,27481,773.396,52393592.72,0
1.71724E+12,67670.1,67742.1,67670.1,67704,1149.633,1.71724E+12,77841099.46,22151,538.224,36442818.57,0
1.71724E+12,67704,67936,67681.4,67757.2,3026.6,1.71725E+12,205237142.2,43597,1849.712,125440952.5,0
1.71725E+12,67757.2,67884.8,67752,67760,2381.087,1.71725E+12,161513831.8,41684,1143.226,77548680.02,0
1.71725E+12,67760,67920,67716,67841.1,2448.014,1.71725E+12,166044809.9,41833,1369.122,92869650.1,0
1.71725E+12,67841.2,67854.7,67692.8,67728.2,2118.296,1.71726E+12,143610990.3,33147,953.968,64677423.31,0
1.71726E+12,67728.2,67767.5,67644,67740,2035.679,1.71726E+12,137850466.6,38467,1147.151,77683033.38,0
