open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1.71979E+12,62766.1,62935.2,62562,62924.6,7156.801,1.7198E+12,449009096.5,95758,3512.698,220405890,0
1.7198E+12,62924.7,63730,62881.3,63631.9,24879.788,1.7198E+12,1578299216,232143,14408.211,913904798.8,0
1.7198E+12,63631.9,63800,63147.9,63427.1,13444.511,1.7198E+12,854005312.5,160530,6028.887,383071620.9,0
1.7198E+12,63427.1,63510,63316.9,63416.4,4272.64,1.71981E+12,270990273.6,63006,2208.701,140095694,0
1.71981E+12,63416.5,63453.7,63200,63262.9,4254.646,1.71981E+12,269317335.8,57742,1924.251,121804289.1,0
1.71981E+12,63263,63440,63243.6,63410.4,3047.3,1.71981E+12,193090652.4,43749,1760.379,111535839.1,0
1.71981E+12,63410.5,63440.6,63267.5,63381.7,2982.46,1.71982E+12,188960607.5,41621,1447.551,91721081.73,0
1.71982E+12,63381.7,63419.1,63232.2,63265.5,3276.474,1.71982E+12,207468969.8,45920,1696.935,107453912.8,0
1.71982E+12,63265.5,63302.7,62819,62910,10811.923,1.71982E+12,681303043.3,119772,4760.433,299944811,0
1.71982E+12,62910.1,62988,62761.3,62920.2,5165.106,1.71983E+12,324781618,70572,2626.595,165172485.3,0
1.71983E+12,62920.3,62970,62763,62841.9,3958.143,1.71983E+12,248877435.5,50589,2055.779,129275727,0
1.71983E+12,62841.9,62853.8,62580,62657.9,6504.23,1.71984E+12,407833798.6,82020,3011.994,188873555.8,0
1.71984E+12,62657.9,62890,62633,62868.4,6365.272,1.71984E+12,399566285.2,78753,3657.209,229567622.6,0
1.71984E+12,62868.3,63074.5,62502.2,62676,15417.35,1.71984E+12,967696671.7,155892,8449.546,530378489.8,0
1.71984E+12,62676,62935.6,62597.4,62809.6,9366.272,1.71985E+12,588044093,119428,4815.242,302332206,0
1.71985E+12,62809.7,63182.5,62802.8,63119.9,8970.912,1.71985E+12,564945573.1,95749,4789.607,301703964.8,0
1.71985E+12,63120,63344.2,62947.4,63105.2,10528.568,1.71985E+12,665183913,113769,5097.047,322109629.9,0
1.71985E+12,63105.2,63687.9,63040,63683.5,12267.834,1.71986E+12,778137567.9,130366,7176.388,455231832.7,0
1.71986E+12,63683.6,63849,63412.5,63640,13066.252,1.71986E+12,831341000.5,136488,6056.273,385406334.7,0
1.71986E+12,63640,63640.1,63047.2,63207.6,10574.268,1.71986E+12,669288239.5,109933,4846.415,306720610.4,0
1.71986E+12,63207.2,63421.6,63144.1,63274.9,4621.806,1.71987E+12,292565185.6,49452,2469.476,156314301.4,0
1.71987E+12,63275,63275,63010.2,63113.6,3330.018,1.71987E+12,210232055.1,41696,1441.017,90970178.02,0
1.71987E+12,63113.6,63147.4,62780,62961.7,6827.712,1.71987E+12,429670668.2,74335,3270.886,205831362.2,0
1.71987E+12,62961.6,63027.9,62811,62883.6,2847.652,1.71988E+12,179151026,36873,1345.11,84627235.94,0
1.71988E+12,62883.7,62975.3,62765.7,62912.7,3947.555,1.71988E+12,248277449.2,54746,2024.647,127342349.1,0
1.71988E+12,62912.7,62955.7,62796.8,62914.6,2556.549,1.71989E+12,160756825.1,35867,1250.811,78658829.72,0
1.71989E+12,62914.6,63107.3,62902.2,62983.8,3749.518,1.71989E+12,236240238.1,49808,2031.947,128022839.6,0
1.71989E+12,62983.9,63284,62975,63115.7,4049.203,1.71989E+12,255714615.2,53619,2301.393,145339395.6,0
1.71989E+12,63118,63227,63017.4,63018.5,2686.368,1.7199E+12,169561382.8,40519,1273.93,80415697.89,0
1.7199E+12,63018.6,63085.7,62974.5,63010.2,2414.067,1.7199E+12,152127432.4,29643,1118.625,70495108.72,0
1.7199E+12,63010.2,63037.7,62818,62859.4,4719.006,1.7199E+12,296784313.7,55845,2262.474,142288969,0
1.7199E+12,62859.4,62864.6,62566,62617.9,9244.392,1.71991E+12,579392746.6,86055,4545.753,284890925.4,0
1.71991E+12,62617.9,62750,62387,62666.1,11044.433,1.71991E+12,691399422.1,101403,5713.111,357715513.5,0
1.71991E+12,62666.1,62791.1,62622,62651.8,4702.755,1.71991E+12,294803789.7,59528,2627.917,164736271.2,0
1.71991E+12,62651.8,62793,62500,62715.6,6307.609,1.71992E+12,395210584,63999,3150.095,197400078.7,0
1.71992E+12,62715.5,62861.1,62615.1,62823.3,4418.429,1.71992E+12,277361956.5,49475,2349.63,147503347.7,0
1.71992E+12,62823.3,63050,62711.6,62871.9,6782.057,1.71993E+12,426544254,72852,3694.233,232360293.7,0
1.71993E+12,62871.9,63167.4,62500,62625.3,13871.028,1.71993E+12,871660055.4,146972,6234.386,391842355.8,0
1.71993E+12,62625.3,62728,61880,62032.7,33273.188,1.71993E+12,2070523948,291647,15515.134,965793613,0
1.71993E+12,62032.6,62148.7,61840,61945,9763.217,1.71994E+12,605511748.8,115008,4802.163,297859006.4,0
1.71994E+12,61945,62024.7,61800,61922.8,9564.832,1.71994E+12,592024147.1,97318,5048.401,312506651.7,0
1.71994E+12,61922.8,62160.9,61881.1,62144.2,4785.287,1.71994E+12,296798424,58019,2770.779,171879123.9,0
1.71994E+12,62144.2,62361.2,62133.8,62313.9,7754.033,1.71995E+12,482908586.2,73811,3850.245,239767645.5,0
1.71995E+12,62313.8,62362.8,61880.9,61944,7226.78,1.71995E+12,448677666.9,84878,3402.584,211224360.9,0
1.71995E+12,61944,62085.2,61870.8,62006.3,2809.409,1.71995E+12,174190965.7,39507,1425.74,88403983.82,0
